DishName,Description,Region,MainIngredient,Ingredients,StateOfMainIngredient,DietType,MealEatenAtPartOfDay,Variations,FlavorProfiles,PreparationMethod,PreparationTimeMinutes,MeatCut
Kaeserolle DDR Rezept,Baked casserole with cheese and potatoes.,"Eastern Europe, Austria, Poland",Potato,"potato, onion, cheese, bacon, milk, nutmeg, salt, pepper",boiled,"omnivore, vegetarian",dinner,"with mushrooms, with leek, with ham","savory, cheesy, creamy, buttery, mild",baked,45,
Kaesespaetzle,Soft egg noodles with melted cheese and fried onions.,"Baden-Wurttemberg, Bavaria, Austria",Spaetzle,"spaetzle, cheese, onion, butter, milk, nutmeg, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with mushrooms, with bacon, with different types of cheese","cheesy, creamy, buttery, savory, mild",fried,20,
Kaesespaetzle mit ja! Bergkaese,Savory bread dumplings with melted cheese and caramelized onions.,"Baden-Wurttemberg, Bavaria, Austria",Spaetzle,"spaetzle, Bergkaese, onions, butter, flour, eggs, milk, salt, pepper",cooked,"vegetarian, omnivore","lunch, dinner","with gravy, with mushrooms, with bacon","cheesy, creamy, buttery, savory, umami, aromatic",fried,20,
Kaesesuppe,"A creamy soup made with cheese, broth, and often potatoes.","Bavaria, Baden-Württemberg, Austria, Switzerland",Cheese,"cheese, potatoes, onions, broth, cream, nutmeg, marjoram, pepper, salt",melted,"vegetarian, omnivore","lunch, dinner","with potatoes, with leeks, with beer, with croutons","savory, creamy, cheesy, mild, buttery",simmering,20,
Kaesesuppe mit Hack,A creamy cheese soup with ground meat.,"Baden-Württemberg, Bavaria, Austria",Cheese,"cheese, ground beef, onions, potatoes, broth, flour, milk, nutmeg, marjoram, salt, pepper",melted,"omnivore, vegetarian","lunch, dinner","with different types of cheese, with different ground meats, with vegetables","cheesy, creamy, savory, aromatic, mild",simmering,30,ground beef
Kaiserschmarrn,Shredded pancake served with fruit compote and powdered sugar.,"Tyrol, Austria, Bavaria, Salzburg",Pancake Batter,"flour, milk, eggs, sugar, vanilla, butter, fruit compote, powdered sugar",shredded,"vegetarian, omnivore","breakfast, anytime","with raisins, with apples, with pears","sweet, creamy, buttery, fruity",frying,15,
Kaiserschmarrn mit Erdbeeren,Shredded pancake with strawberries and powdered sugar.,"Austria, Bavaria, Tyrol",Pancake,"flour, eggs, milk, sugar, vanilla, butter, strawberries, powdered sugar",shredded,"vegetarian, omnivore",anytime,"apples, plums, raisins, lemon zest","sweet, creamy, fruity, buttery",frying,15,
Kaiserschmarrn mit Schnittlauch-Dip,Shredded pancake with chives dip,"Austria, Bavaria, Salzburg, Tyrol",Pancake Batter,"flour, eggs, milk, sugar, vanilla, chives, butter, lemon juice",shredded,"vegetarian, omnivore",anytime,"fruit compote, powdered sugar, raisins","sweet, buttery, creamy, mild, fruity",frying,15,
Kaisersuppe,Rich clear soup with vegetables and often dumplings.,"Austria, Bavaria, Austria, Switzerland",Beef Broth,"beef broth, carrots, celery, leeks, potatoes, dumplings, herbs, salt, pepper",clear,"omnivore, vegetarian","lunch, dinner","with pasta, with beef, with root vegetables","savory, umami, aromatic, mild, buttery",simmering,30,
Kalbsbaeckchen Rezept,Braised veal cheeks in a rich sauce.,"Bavaria, Austria, Switzerland",Veal cheeks,"veal cheeks, onions, carrots, celery, red wine, beef broth, bay leaf, thyme, flour, oil, salt, pepper",braised,omnivore,dinner,"with dumplings, with mashed potatoes, with polenta","savory, umami, aromatic, buttery",braising,180,veal cheeks
Kalbsbries Rumohr,Sweetbreads braised in a rich cream sauce with vegetables.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Sweetbreads,"sweetbreads, onion, carrots, celery, cream, butter, white wine, beef broth, parsley, nutmeg, bay leaf, salt, pepper","boiled, sliced",omnivore,dinner,"pan-fried, roasted","savory, creamy, buttery, aromatic, mild",braising,45,
Kalbsschnitzel mit Suesskartoffelgratin,Pan-fried veal cutlet served with sweet potato gratin.,"Bavaria, Austria, Switzerland",Veal,"veal, sweet potatoes, cream, butter, flour, breadcrumbs, egg, salt, pepper, nutmeg",sliced,omnivore,dinner,"Jägerschnitzel, Zigeunerschnitzel, Rahmschnitzel","savory, buttery, creamy, mild",pan-fried,25,veal scallop
Kalter Hund ohne Ei,"A cold, sweet snack made with bread and fruit.","North Rhine-Westphalia, Lower Saxony, Netherlands",Bread,"Bread, Fruit Spread, Sugar, Breadcrumbs",Sliced,"vegetarian, vegan",anytime,"with different fruit spreads, different breads","sweet, fruity, buttery",coated,5,
Kalter Hund ohne Kokosfett,Rolled wafers with peanut butter and banana.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Wafer,"wafers, peanut butter, banana, honey",rolled,"vegetarian, omnivore",anytime,"different nut butters, different fruits","sweet, nutty, creamy, aromatic, fruity",spreading,5,
Kaltes Buffet,An assortment of cold appetizers and small plates.,"Austria, Switzerland, Bavaria",Cold Cuts,"cold cuts, cheeses, pickles, olives, salads, bread, mustards, spreads",sliced,"omnivore, vegetarian",anytime,"theme buffets, seasonal buffets","savory, aromatic, tangy, buttery","slicing, arranging",15,
Kaltschale,"Cold soup, typically creamy and refreshing.","North Rhine-Westphalia, Lower Saxony, Netherlands",Herring,"herring, potatoes, sour cream, vinegar, onion, dill, sugar, water",pickled,omnivore,lunch,"with beetroot, with vegetables","sour, savory, aromatic",marinating,15,
Kaninchenkeulen nach Omas Rezept,Braised rabbit legs with a rich sauce.,"Bavaria, Austria, Switzerland",Rabbit,"rabbit legs, onion, carrots, celery, red wine, broth, bay leaf, juniper berries, thyme, flour, oil, salt, pepper",braised,omnivore,dinner,"with dumplings, with potatoes, with polenta","savory, aromatic, earthy, nutty",braising,60,rabbit legs
Karamellisierter weisser Spargel mit Erdbeeren & gruenem Pfeffer,Caramelized white asparagus served with strawberries and green pepper.,"Baden-Wurttemberg, Bavaria, Austria",White Asparagus,"white asparagus, strawberries, green pepper, butter, sugar, salt, pepper",boiled,"vegetarian, kosher","dinner, anytime","different types of berries, different types of pepper","sweet, fruity, tangy, buttery, aromatic","boiling, caramelizing",15,
Karlsbader Schnitte,Layered pastry with a creamy filling and a fruit glaze.,"Bavaria, Austria, Czech Republic",Pastry,"puff pastry, cream, sugar, lemon zest, raspberry jam, vanilla extract, butter",baked,"vegetarian, omnivore",anytime,"different fruit glazes, different cream flavors","sweet, creamy, fruity, buttery, aromatic",baked,25,
Karneval-Schuerzkuchen,"A layered pastry with cream and fruit, often enjoyed during carnival.","North Rhine-Westphalia, Rhineland-Palatinate, Austria",Pastry,"flour, sugar, yeast, milk, eggs, cream, fruit, vanilla, lemon zest",baked,"vegetarian, omnivore",anytime,"different fruits, chocolate, nuts","sweet, creamy, fruity, buttery, aromatic",baked,25,
Karotten-Donuts mit Pistaziensplittern,Carrot donuts with pistachio pieces,"Austria, Switzerland",Carrot,"carrot, flour, sugar, yeast, milk, egg, pistachio, cinnamon, vanilla",grated,vegetarian,anytime,"glazed, filled","sweet, nutty, aromatic, creamy",frying,15,
Kartoffel-Auflauf mit Liebstoeckel,Baked potato casserole with lovage.,"Bavaria, Austria, Switzerland",Potato,"potato, onion, cream, milk, cheese, lovage, butter, salt, pepper","boiled, sliced","vegetarian, omnivore","lunch, dinner","with bacon, with mushrooms, with sausage","savory, cheesy, creamy, buttery, aromatic, earthy",baking,45,
Kartoffel-Duett,Pan-fried potatoes served with mashed potatoes.,"Bavaria, Austria, Switzerland",Potato,"potato, butter, milk, salt, pepper, parsley, onion","mashed, sliced","vegetarian, omnivore","lunch, dinner","with herbs, with bacon, with cheese","savory, buttery, creamy, mild, earthy","frying, mashing",25,
Kartoffel-Lauch-Suppe mit Speck & Knoblauch-Croutons,Creamy potato and leek soup with crispy bacon and garlic croutons.,"Bavaria, Austria, Switzerland",Potato,"potato, leek, bacon, garlic, vegetable broth, cream, butter, olive oil, salt, pepper, herbs",boiled,"omnivore, vegetarian","lunch, dinner","without bacon, with different herbs, blended smooth","savory, creamy, buttery, aromatic, mild",boiling,25,bacon
Kartoffel-Topf mit Schnittlauch-Schmand,Baked potato casserole with chives and sour cream.,"Bavaria, Austria, Switzerland",Potato,"potato, onion, chives, sour cream, milk, butter, nutmeg, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with bacon, with cheese, with vegetables","savory, creamy, buttery, mild, earthy",baking,35,
Kartoffel-Zimt-Kuchen (Daetscher) mit Pekannuessen,A spiced cake with apples and nuts.,"Baden-Wurttemberg, Switzerland, Austria",Apple,"apples, flour, sugar, butter, cinnamon, yeast, milk, eggs, pecans",sliced,"vegetarian, kosher","anytime, breakfast","with raisins, with cranberries, gluten-free","sweet, aromatic, nutty, buttery, creamy, fruity",baked,60,
Kartoffelgulasch,A hearty potato stew with vegetables and paprika.,"Bavaria, Austria, Hungary",Potato,"potato, onion, bell pepper, tomato, paprika, vegetable broth, caraway seed, marjoram, oil",boiled,"vegetarian, vegan, omnivore","lunch, dinner","with smoked sausage, with beef, with mushrooms","savory, umami, aromatic, earthy, smoky",simmered in sauce,35,
Kartoffelkloss,"Dumplings made from potatoes, often served as a side dish.","Bavaria, Thuringia, Austria",Potato,"potato, flour, egg, nutmeg, salt, pepper",boiled,"vegetarian, vegan, omnivore","lunch, dinner","Kartoffelraedchen, Serviettenknödel","savory, creamy, buttery, mild, earthy",boiling,25,
Kartoffelknoedel mit Veggie-Gulasch,Potato dumplings served with a vegetable stew.,"Bavaria, Austria, Switzerland",Potato,"potatoes, flour, breadcrumbs, vegetables, onions, carrots, tomatoes, paprika, vegetable broth, oil, salt, pepper",boiled,"vegetarian, vegan, omnivore","lunch, dinner","with cheese, with gravy, with different vegetables","savory, umami, earthy, aromatic","boiled, smothered in sauce",30,
Kartoffelkuchen vom Blech,"Baked potato cake, often served in squares.","North Rhine-Westphalia, Lower Saxony, Netherlands",Potato,"potato, onion, egg, milk, flour, butter, salt, pepper, nutmeg",boiled,"vegetarian, omnivore","lunch, dinner, anytime","with bacon, with cheese, with apples","savory, buttery, creamy, mild, earthy",baked,45,
Kartoffelpfanne mit Gurken,Pan-fried potatoes with pickles.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Potato,"potato, onion, pickle, oil, salt, pepper, herbs",sliced,"vegetarian, omnivore","lunch, dinner","with bacon, with sausage, with mushrooms","savory, tangy, aromatic",frying,20,
Kartoffelpfannkuchen,Pan-fried potato pancakes,"Bavaria, Austria, Switzerland",Potato,"potato, egg, flour, milk, onion, salt, pepper, oil",grated,"vegetarian, omnivore",anytime,"with applesauce, with sour cream, savory, sweet","savory, buttery, creamy, mild, earthy",frying,20,
Kartoffelpueree,"Mashed potatoes, often served as a side dish.","Bavaria, Austria, Switzerland",Potato,"potato, milk, butter, salt, pepper, nutmeg",boiled,"vegetarian, omnivore","lunch, dinner, anytime","with garlic, with herbs, with cheese","creamy, buttery, savory, mild, earthy","boiling, mashing",15,
Kartoffelpuffer,"Pan-fried potato pancakes, often served with applesauce or sour cream.","Bavaria, Austria, Switzerland",Potato,"potato, onion, egg, flour, salt, pepper",grated,"vegetarian, vegan, omnivore",anytime,"with bacon, with cheese, savory, sweet","savory, buttery, mild, earthy",frying,15,
Kartoffelpuffer ,Pan-fried potato pancakes,"Bavaria, Austria, Switzerland",Potato,"potato, onion, flour, egg, salt, pepper, oil",grated,"vegetarian, vegan, omnivore",anytime,"with applesauce, with sour cream, savory, sweet","savory, buttery, mild, earthy",frying,15,
Kartoffelpuffer mit frischem Apfelmus,Pan-fried potato pancakes served with fresh apple sauce.,"Austria, Bavaria, North Rhine-Westphalia",Potato,"potato, onion, flour, egg, milk, salt, pepper, apple, sugar, lemon",grated,"vegetarian, omnivore",anytime,"with quark, with bacon, with herbs","sweet, savory, buttery, fruity, tangy",frying,20,
Kartoffelsalat mit Mayonnaise,Potato salad with mayonnaise dressing.,"Rhineland, Bavaria, Austria, Switzerland",Potato,"potato, mayonnaise, onion, vinegar, mustard, oil, salt, pepper","boiled, sliced","vegetarian, omnivore","lunch, anytime","with vinegar and oil, with bacon, with pickles","creamy, savory, tangy, mild",boiling,20,
Kartoffelsalat mit Speck und Champignons,Potato salad with bacon and mushrooms.,"Rhineland, Bavaria, Austria",Potato,"potato, bacon, mushrooms, onion, vinegar, oil, mustard, herbs, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner, anytime","with mayonnaise, with pickles, without bacon","savory, tangy, smoky, creamy, aromatic",boiling,25,bacon
Kartoffelsuppe mit Bratwurst-Baellchen,Potato soup with fried sausage balls.,"Bavaria, Austria, Switzerland",Potato,"potato, bratwurst, onion, celery, carrot, broth, cream, parsley, marjoram, salt, pepper",boiled,"omnivore, vegetarian","lunch, dinner","with smoked bacon, with dumplings, with root vegetables","savory, creamy, aromatic, earthy, mild",boiled,30,bratwurst
Kartoffelsuppe mit Brezel-Knusper,Creamy potato soup with crunchy pretzel croutons.,"Bavaria, Austria, Switzerland",Potato,"potato, onion, celery, carrot, vegetable broth, cream, pretzel, bay leaf, thyme, parsley, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with sausage, with bacon, with smoked cheese","savory, creamy, buttery, aromatic, mild",boiling,30,
Kartoffelsuppe mit Krabben,Creamy potato soup with crab meat.,"Hamburg, Schleswig-Holstein, Netherlands",Potato,"potato, crab, onion, celery, carrots, vegetable broth, cream, bay leaf, parsley, salt, pepper",boiled,"omnivore, vegetarian","lunch, dinner","with smoked salmon, without crab, with different herbs","savory, creamy, aromatic, mild",boiling,25,
Kartoffelsuppe mit Wuerstchen,Potato soup with sausages,"Bavaria, Austria, Switzerland",Potato,"potato, sausage, onion, celery, carrot, broth, cream, parsley, salt, pepper",boiled,"omnivore, vegetarian","lunch, dinner","with bacon, with smoked meat, with dumplings","savory, creamy, mild, earthy",boiling,25,
Kasseler,"Cured and smoked pork dish, often served with potatoes and sauerkraut.","Rhineland, Hesse, North Rhine-Westphalia, Netherlands, Belgium",Pork,"salt, pepper, coriander, marjoram, mustard seeds, garlic, onion",smoked,omnivore,"lunch, dinner","with different spice blends, sliced or chopped","smoky, savory, aromatic, mild","curing, smoking",60,pork shoulder
Kasseler mit Sauerkraut und Kartoffelpueree,"Cured and smoked pork cut, served with sauerkraut and mashed potatoes.","North Rhine-Westphalia, Lower Saxony, Rhineland-Palatinate, Luxembourg",Pork,"pork, sauerkraut, potatoes, onion, salt, pepper, bay leaf, caraway, marjoram","smoked, sliced",omnivore,"lunch, dinner","with gravy, with dumplings, with mustard","savory, smoky, tangy, buttery","smoking, curing",30,pork shoulder
Kawassy,Stewed cabbage with apples and onions.,"Bavaria, Austria, Switzerland",Cabbage,"cabbage, apples, onions, butter, salt, pepper, caraway seeds, vinegar",shredded,"vegetarian, vegan, omnivore","lunch, dinner","with bacon, with smoked pork, with raisins","savory, tangy, buttery, aromatic",stewing,30,
Kerniges Vollkornbrot,Hearty whole wheat bread with a dense crumb.,"Bavaria, Austria, Switzerland",Whole wheat flour,"whole wheat flour, water, yeast, salt, rye flour",baked,"vegetarian, vegan, omnivore","breakfast, anytime","seeded, with grains, with fruit","earthy, nutty, savory, aromatic",baking,60,
Kesselfleisch,Slow-cooked beef simmered in a rich gravy.,"Bavaria, Austria, Switzerland",Beef,"beef, onions, carrots, celery, bay leaf, juniper berries, red wine, beef broth, salt, pepper",braised,omnivore,dinner,"with dumplings, with potatoes, with noodles","savory, umami, aromatic, smoky, buttery",braising,180,beef shank
Kirschenmichel,Steamed cherry dumplings served with vanilla sauce.,"Bavaria, Austria, Switzerland",Dumpling,"flour, cherries, sugar, milk, vanilla, lemon zest, butter, yeast",steamed,"vegetarian, omnivore",anytime,"with quark, with poppy seeds","sweet, fruity, creamy, buttery",steaming,30,
